iter	RMSE
0	77865.44463
1	77326.41843
2	76818.32232
3	76290.04288
4	75765.78784
5	75206.67416
6	74664.10141
7	74175.34097
8	73701.14781
9	73206.15384
10	72754.57964
11	72266.15146
12	71809.72358
13	71327.22234
14	70868.92853
15	70435.71232
16	69950.14479
17	69497.56127
18	69060.56689
19	68601.43008
20	68182.62523
21	67728.28041
22	67280.48021
23	66882.60352
24	66491.23124
25	66119.80763
26	65715.76702
27	65306.93634
28	64934.18221
29	64540.6321
30	64172.11115
31	63818.1792
32	63456.13651
33	63085.57433
34	62706.65961
35	62317.76846
36	61950.22691
37	61580.54171
38	61223.07578
39	60904.95086
40	60581.69197
41	60235.96499
42	59880.71787
43	59570.58895
44	59241.38747
45	58925.94968
46	58644.40603
47	58331.50773
48	58023.48101
49	57683.74044
50	57388.82978
51	57110.80424
52	56805.89974
53	56512.66504
54	56224.1422
55	55942.23865
56	55654.72103
57	55398.2129
58	55125.83262
59	54849.69601
60	54586.24822
61	54284.29659
62	54032.26532
63	53786.86514
64	53565.64552
65	53325.74484
66	53070.75738
67	52845.44815
68	52589.00919
69	52370.78784
70	52137.90475
71	51906.82191
72	51648.46164
73	51420.14
74	51197.60237
75	50938.10525
76	50689.81213
77	50464.54668
78	50246.84232
79	49994.12024
80	49771.86514
81	49584.87182
82	49369.29785
83	49138.21282
84	48898.57617
85	48684.84996
86	48463.68687
87	48245.88794
88	48043.9629
89	47833.46287
90	47614.97436
91	47409.52657
92	47236.5304
93	47058.84296
94	46829.22588
95	46651.9029
96	46507.05268
97	46290.68888
98	46106.31148
99	45901.50429
100	45725.06083
101	45549.40289
102	45374.74026
103	45241.34053
104	45074.41969
105	44886.35381
106	44724.87667
107	44583.13004
108	44411.44276
109	44246.69834
110	44085.5987
111	43922.88458
112	43765.15001
113	43610.09896
114	43440.38563
115	43268.90863
116	43103.59124
117	42956.6976
118	42796.51407
119	42658.07434
120	42501.27963
121	42376.62993
122	42232.6462
123	42073.94408
124	41933.87302
125	41806.92737
126	41684.64274
127	41551.81835
128	41421.59587
129	41319.73494
130	41179.29386
131	41052.26988
132	40922.99923
133	40794.50497
134	40655.41872
135	40529.26628
136	40390.85616
137	40282.82871
138	40166.80592
139	40023.55564
140	39900.79353
141	39767.82747
142	39647.90493
143	39534.57516
144	39425.03493
145	39302.16884
146	39180.23654
147	39050.25937
148	38945.7333
149	38839.56036
150	38732.68495
151	38621.86273
152	38520.72609
153	38434.04641
154	38319.80799
155	38194.13624
156	38061.42124
157	37972.14035
158	37880.77962
159	37775.47239
160	37685.70741
161	37608.57793
162	37511.40531
163	37391.31297
164	37301.05899
165	37223.68489
166	37133.61106
167	37027.65656
168	36946.96717
169	36862.80173
170	36777.77641
171	36692.80365
172	36596.36331
173	36506.32942
174	36430.25187
175	36306.3832
176	36228.44852
177	36141.87978
178	36053.90882
179	35966.68149
180	35884.25494
181	35796.32156
182	35704.00874
183	35629.92543
184	35553.04045
185	35476.63208
186	35406.67068
187	35342.52723
188	35224.28928
189	35148.57118
190	35069.98899
191	34979.21092
192	34924.31841
193	34856.84557
194	34789.06963
195	34691.49076
196	34626.55362
197	34565.59469
198	34482.87961
199	34400.07972
200	34341.22916
201	34273.37532
202	34220.97207
203	34145.24543
204	34072.14175
205	33999.17369
206	33925.54985
207	33875.47799
208	33782.60926
209	33719.57528
210	33685.54688
211	33607.64416
212	33546.17894
213	33466.7883
214	33399.59229
215	33349.40025
216	33292.98709
217	33240.81155
218	33184.39207
219	33116.64677
220	33068.42546
221	33018.16195
222	32938.48617
223	32876.89334
224	32824.36721
