iter	Passed	Remaining
0	0	2037
1	1	1733
2	2	1743
3	2	1646
4	3	1602
5	3	1560
6	4	1504
7	5	1510
8	5	1466
9	5	1443
10	6	1422
11	7	1422
12	7	1407
13	8	1417
14	8	1424
15	9	1429
16	10	1412
17	10	1403
18	10	1387
19	11	1397
20	12	1395
21	12	1387
22	13	1383
23	13	1364
24	14	1361
25	14	1363
26	15	1365
27	16	1373
28	16	1367
29	17	1362
30	17	1372
31	18	1368
32	18	1364
33	19	1371
34	20	1369
35	20	1370
36	21	1372
37	21	1366
38	22	1362
39	23	1380
40	23	1381
41	24	1384
42	25	1382
43	25	1378
44	26	1377
45	26	1374
46	27	1368
47	27	1366
48	28	1376
49	29	1373
50	29	1367
51	30	1371
52	30	1365
53	31	1367
54	31	1373
55	32	1370
56	32	1366
57	33	1362
58	34	1366
59	34	1360
60	35	1358
61	35	1361
62	36	1357
63	36	1357
64	37	1355
65	37	1352
66	38	1350
67	39	1348
68	39	1343
69	40	1349
70	40	1347
71	41	1345
72	42	1349
73	42	1348
74	43	1347
75	43	1347
76	44	1345
77	44	1346
78	45	1342
79	45	1339
80	46	1342
81	47	1341
82	47	1339
83	48	1343
84	48	1342
85	49	1343
86	50	1345
87	50	1344
88	51	1343
89	52	1347
90	52	1343
91	53	1341
92	53	1343
93	54	1341
94	54	1342
95	55	1346
96	56	1347
97	56	1345
98	57	1346
99	58	1346
100	58	1344
101	59	1346
102	59	1344
103	60	1343
104	61	1344
105	61	1344
106	62	1342
107	62	1340
108	63	1340
109	63	1337
110	64	1340
111	65	1340
112	65	1339
113	66	1340
114	66	1339
115	67	1338
116	68	1337
117	68	1335
118	69	1333
119	69	1334
120	70	1333
121	70	1331
122	71	1329
123	71	1330
124	72	1327
125	73	1327
126	73	1327
127	74	1324
128	74	1324
129	75	1324
130	75	1325
131	76	1323
132	77	1323
133	77	1322
134	78	1322
135	78	1321
136	79	1319
137	79	1318
138	80	1319
139	81	1318
140	81	1318
141	82	1319
142	82	1318
143	83	1318
144	84	1319
145	84	1319
146	85	1319
147	86	1318
148	86	1317
149	87	1315
150	87	1317
151	88	1317
152	88	1315
153	89	1317
154	90	1316
155	90	1317
156	91	1319
157	92	1318
158	92	1317
159	93	1316
160	93	1316
161	94	1314
162	94	1313
163	95	1312
164	96	1311
165	96	1311
166	97	1312
167	97	1311
168	98	1312
169	99	1313
170	100	1313
171	100	1315
172	101	1314
173	101	1313
174	102	1312
175	103	1312
176	103	1313
177	104	1312
178	104	1311
179	105	1309
180	106	1309
181	106	1309
182	107	1309
183	107	1309
184	108	1308
185	109	1307
186	109	1308
187	110	1307
188	110	1305
189	111	1307
190	112	1306
191	112	1304
192	113	1303
193	113	1302
194	114	1300
195	114	1299
196	115	1300
197	115	1299
198	116	1300
199	117	1300
200	117	1299
201	118	1298
202	118	1297
203	119	1295
204	119	1293
205	120	1294
206	121	1292
207	121	1291
208	122	1290
209	122	1290
210	123	1289
211	123	1289
212	124	1289
213	125	1289
214	125	1288
215	126	1288
216	126	1286
217	127	1284
218	127	1284
219	128	1284
220	129	1283
221	129	1283
222	130	1283
223	131	1283
224	131	1284
225	132	1284
226	133	1283
227	133	1284
228	134	1283
229	134	1283
230	135	1283
231	136	1282
232	136	1281
233	137	1280
234	137	1281
235	138	1280
236	139	1280
237	139	1280
238	140	1280
239	140	1278
240	141	1278
241	142	1277
242	142	1276
243	143	1275
244	143	1275
245	144	1274
246	144	1272
247	145	1271
248	146	1271
249	146	1270
250	147	1269
251	147	1269
252	148	1269
253	148	1268
254	149	1268
255	150	1269
256	150	1268
257	151	1269
258	152	1269
259	152	1268
260	153	1269
261	154	1268
262	154	1268
263	155	1268
264	156	1267
265	156	1266
266	157	1265
267	157	1264
268	158	1263
269	158	1261
270	159	1262
271	160	1261
272	160	1261
273	161	1261
274	161	1260
275	162	1259
276	163	1260
277	163	1259
278	164	1258
279	164	1257
280	165	1258
281	166	1257
282	166	1256
283	167	1258
284	168	1257
285	168	1256
286	169	1254
287	169	1255
288	170	1254
289	170	1253
290	171	1253
291	172	1253
292	172	1253
293	173	1253
294	174	1252
295	174	1251
296	175	1251
297	175	1250
298	176	1249
299	177	1250
300	177	1249
301	178	1248
302	178	1247
303	179	1245
304	179	1246
305	180	1245
306	181	1244
307	181	1245
308	182	1244
309	182	1243
310	183	1243
311	184	1243
312	184	1242
313	185	1242
314	186	1241
315	186	1241
316	187	1240
317	187	1239
318	188	1239
319	188	1238
320	189	1237
321	190	1236
322	190	1235
323	191	1234
324	191	1234
325	192	1233
326	192	1233
327	193	1233
328	194	1232
329	194	1232
330	195	1231
331	196	1231
332	196	1230
333	197	1230
334	197	1230
335	198	1229
336	199	1228
337	199	1228
338	200	1228
339	200	1227
340	201	1227
341	202	1227
342	202	1226
343	203	1226
344	204	1225
345	204	1225
346	205	1224
347	205	1224
348	206	1223
349	206	1222
350	207	1221
351	207	1219
352	208	1219
353	209	1219
354	209	1217
355	210	1218
356	211	1218
357	211	1216
358	212	1215
359	212	1215
360	213	1215
361	213	1214
362	214	1213
363	215	1213
364	215	1212
365	216	1211
366	216	1210
367	217	1210
368	217	1209
369	218	1208
370	219	1208
371	219	1207
372	220	1206
373	220	1205
374	221	1205
375	221	1204
376	222	1202
377	222	1202
378	223	1201
379	224	1200
380	224	1200
381	225	1200
382	225	1199
383	226	1199
384	227	1198
385	227	1197
386	228	1196
387	228	1196
388	229	1195
389	229	1194
390	230	1193
391	230	1192
392	231	1192
393	232	1192
394	232	1191
395	233	1191
396	233	1190
397	234	1190
398	235	1189
399	235	1189
400	236	1188
401	237	1188
402	237	1187
403	238	1187
404	238	1186
405	239	1185
406	239	1185
407	240	1184
408	241	1183
409	241	1182
410	242	1182
411	242	1181
412	243	1180
413	243	1180
414	244	1179
415	245	1178
416	245	1178
417	246	1177
418	246	1177
419	247	1177
420	248	1177
421	248	1176
422	249	1175
423	249	1175
424	250	1174
425	251	1173
426	251	1173
427	252	1172
428	252	1171
429	253	1171
430	254	1170
431	254	1169
432	255	1168
433	255	1167
434	256	1166
435	256	1166
436	257	1165
437	257	1164
438	258	1164
439	258	1163
440	259	1162
441	260	1162
442	260	1161
443	261	1161
444	262	1162
445	262	1161
446	263	1160
447	263	1159
448	264	1159
449	265	1158
450	265	1158
451	266	1157
452	266	1156
453	267	1156
454	268	1156
455	268	1155
456	269	1154
457	269	1154
458	270	1154
459	271	1153
460	271	1152
461	272	1152
462	272	1151
463	273	1150
464	274	1150
465	274	1149
466	275	1148
467	275	1147
468	276	1147
469	277	1147
470	277	1146
471	278	1145
472	278	1144
473	279	1144
474	279	1143
475	280	1142
476	280	1142
477	281	1141
478	282	1141
479	282	1140
480	283	1139
481	283	1139
482	284	1138
483	284	1137
484	285	1136
485	285	1135
486	286	1135
487	287	1134
488	287	1134
489	288	1133
490	288	1132
491	289	1131
492	290	1131
493	290	1131
494	291	1130
495	291	1129
496	292	1129
497	292	1128
498	293	1127
499	294	1127
500	294	1126
501	295	1126
502	295	1125
503	296	1125
504	296	1124
505	297	1124
506	298	1123
507	298	1122
508	299	1121
509	299	1121
510	300	1120
511	300	1119
512	301	1119
513	301	1118
514	302	1117
515	303	1117
516	303	1116
517	304	1115
518	304	1114
519	305	1114
520	305	1113
521	306	1112
522	307	1111
523	307	1111
524	308	1110
525	308	1109
526	309	1108
527	309	1107
528	310	1107
529	310	1106
530	311	1105
531	311	1104
532	312	1104
533	312	1103
534	313	1102
535	313	1101
536	314	1100
537	314	1099
538	315	1098
539	316	1098
540	316	1097
541	317	1097
542	317	1096
543	318	1095
544	318	1095
545	319	1094
546	320	1093
547	320	1093
548	321	1092
549	321	1091
550	322	1090
551	322	1090
552	323	1089
553	323	1088
554	324	1088
555	324	1087
556	325	1087
557	326	1086
558	326	1085
559	327	1084
560	327	1084
561	328	1083
562	328	1082
563	329	1082
564	329	1081
565	330	1080
566	330	1079
567	331	1078
568	331	1078
569	332	1077
570	332	1076
571	333	1075
572	334	1075
573	334	1074
574	335	1073
575	335	1073
576	336	1072
577	336	1071
578	337	1071
579	338	1071
580	338	1070
581	339	1069
582	339	1068
583	340	1067
584	340	1067
585	341	1066
586	341	1065
587	342	1064
588	342	1064
589	343	1063
590	343	1062
591	344	1061
592	345	1061
593	345	1061
594	346	1060
595	346	1059
596	347	1059
597	348	1058
598	348	1058
599	349	1057
600	349	1057
601	350	1056
602	351	1056
603	351	1055
604	352	1054
605	352	1054
606	353	1053
607	353	1052
608	354	1052
609	355	1051
610	355	1051
611	356	1050
612	356	1049
613	357	1048
614	357	1048
615	358	1047
616	358	1046
617	359	1046
618	359	1045
619	360	1045
620	361	1044
621	361	1043
622	362	1043
623	362	1042
624	363	1041
625	363	1040
626	364	1039
627	364	1039
628	365	1038
629	365	1037
630	366	1037
631	367	1036
632	367	1036
633	368	1035
634	368	1035
635	369	1034
636	370	1034
637	370	1033
638	371	1032
639	371	1032
640	372	1031
641	372	1031
642	373	1030
643	374	1030
644	374	1029
645	375	1028
646	375	1028
647	376	1027
648	376	1026
649	377	1026
650	378	1025
651	378	1025
652	379	1024
653	379	1023
654	380	1023
655	381	1022
656	381	1022
657	382	1021
658	382	1021
659	383	1020
660	384	1020
661	384	1019
662	385	1019
663	385	1018
664	386	1018
665	387	1017
666	387	1017
667	388	1016
668	388	1015
669	389	1014
670	389	1014
671	390	1013
672	390	1013
673	391	1012
674	392	1011
675	392	1011
676	393	1010
677	393	1009
678	394	1009
679	394	1008
680	395	1007
681	395	1007
682	396	1006
683	397	1006
684	397	1005
685	398	1005
686	399	1004
687	399	1004
688	400	1003
689	400	1002
690	401	1001
691	401	1001
692	402	1001
693	402	1000
694	403	999
695	404	999
696	404	998
697	405	998
698	405	997
699	406	996
700	407	996
701	407	995
702	408	995
